job_skill,frequency
Knowledge of collaterals with emphasis on Polish regulatory requirements,1
B.S. or Master's Degree in banking,1
finance or related,1
Understanding of credit bureaus and the type of data provided by them,1
Good communication skills as well as strong presentation abilities,1
ability to build good interpersonal relationships and like to work in close partnership with the people in the business,1
Ability and openness to work in a dynamic team,1
Knowledge of SQL will be an asset,1
English – minimum B2 level,1
Wykształcenie wyższe z zakresu finanse/ controlling / ekonomia,1
Min. 5 lata doświadczenia na stanowisku kontrolera biznesowego lub finansowego w branży produkcyjnej,1
Doświadczenie w rozliczaniu produkcji oraz kalkulacji kosztu wytworzenia towarów i wyrobów gotowych,1
Doświadczenie w tworzeniu budżetów finansowych rocznych,1
długoterminowych planów finansowych oraz modeli finansowych,1
Umiejętność analizy finansowej (CF,1
Dobra znajomość obsługi komputera (środowisko Windows,1
RZiS),1
Doświadczenie we wdrażaniu procesów controllingowych,1
prezentowania wyników,1
analiz i tworzenia rekomendacji,1
Otwartość na wyzwania i zmiany,1
Odpowiedzialność za wykonywanie powierzonych zadań,1
zorientowanie na detale,1
Konsekwencja w działaniu i osiąganiu zakładanych celów,1
pakiet MS Office),1
Dobre zdolności organizacyjne i umiejętność pracy pod presją czasu,1
Znajomość branży spawalniczej (mile widziane doświadczenie w badaniach nieniszczących – NDT),1
mile widziane VBA,1
Znajomość przepisów i standardów ORLEN S.A.,1
Minimum 2 years of hands-on experience with Spark and Scala.,1
Solid understanding of clean code principles,1
software design patterns,1
functional programming,1
and Test-Driven Development (TDD).,1
Practical experience with big data technologies such as Spark,1
and Hive. Knowledge of Azure Databricks will be an advantage.,1
Experience working in agile software development environments.,1
Strong background in data integration and management of high-volume datasets.,1
Experience with DevOps and CI/CD tools (Git,1
Proficiency in database systems such as PostgreSQL,1
and Hive.,1
Good command of English (minimum B2+).,1
Familiarity with CI/CD pipelines (Jenkins,1
Experience with orchestration tools (Control-M,1
Airflow).,1
Scripting skills in Bash and Python.,1
Understanding of Software Development Life Cycle (e.g.,1
HP ALM).,1
Basic knowledge of cybersecurity and code quality tools (e.g.,1
Fortify).,1
Foundational knowledge of cloud computing (Docker,1
OS3,1
3+ years of Data Engineering experience including 2+ years designing and building Databricks data pipelines is required,1
Azure cloud is highly preferred.,1
Experience with conceptual,1
logical and/or physical database designs is a plus.,1
2+ years of hands-on Python/Pyspark and/or PowerBI developer experience is required.,1
2+ years of SQL experience,1
specifically writing complex,1
highly optimized queries across large volumes of data are highly desired.,1
Experience within financial industry is an asset.,1
Capability to learn new concepts quickly.,1
Must be comfortable speaking English.,1
Minimum 2 lata doświadczenia w roli Product Ownera,1
w tym co najmniej rok przy tworzeniu,1
wdrażaniu i optymalizacji systemów CRM,1
Udokumentowana umiejętność pracy z klientem wewnętrznym – zbieranie wymagań,1
przeprowadzanie warsztatów,1
budowanie relacji biznes-IT,1
Dobra znajomość technik modelowania wymagań i procesów biznesowych (np. BPMN,1
use cases),1
Doświadczenie w wykonywaniu badań nieniszczących (NDT),1
definiowania priorytetów i podejmowania decyzji produktowych,1
Wysoko rozwinięte zdolności analityczne oraz komunikacyjne – zdolność przekładania potrzeb biznesowych na rozwiązania IT,1
Praktyczne doświadczenie w definiowaniu,1
projektowaniu i wdrażaniu funkcjonalności CRM (np. moduły sprzedaży,1
obsługi klienta,1
raportowania),1
Znajomość frameworku Scrum i pracy w metodyce Agile,1
odporność na stres i umiejętność pracy pod presją czasu.,1
Certyfikacja: np. PSPO,1
Wykształcenie w zakresie zarządzania jakością,1
Znajomość rynku motoryzacyjnego/ubezpieczeniowego oraz zagadnień z zakresu likwidacji szkód komunikacyjnych,1
knowledge of German / Dutch / Swedish or Danish depending from the supported market,1
ideally around 1-3 years of experience in payroll process for specialist role,1
knowledge of German/ Dutch/ Swedish / Danish/ UK/IR labor law (social security,1
tax law) - for more senior roles,1
Experience in working with ERP systems,1
Good knowledge of Excel,1
SSC/ BPO experience,1
Minimum 3 lata doświadczenia w programowaniu w PHP (preferowane 5 lat),1
Znajomość co najmniej jednego frameworka PHP (preferowany Zend Framework),1
Doświadczenie w pracy z relacyjnymi bazami danych (preferowany PostgreSQL) oraz znajomość SQL,1
Doświadczenie z NoSQL (np. MongoDB,1
Umiejętność projektowania i implementacji skalowalnych aplikacji webowych,1
zagadnień HA,1
pracy wielowątkowej,1
równoległej,1
rozproszonej (mile widziana znajomość Gearman),1
Znajomość zasad programowania obiektowego (OOP) oraz wzorców projektowych (np. MVC,1
SOLID),1
Doświadczenie w pracy z systemami kontroli wersji,1
takimi jak Git,1
Znajomość technologii front-endowych: HTML5,1
JavaScript (w tym jQuery,1
frameworki takie jak ReactJS lub AngularJS mile widziane),1
Doświadczenie w pracy z API RESTful i SOAP,1
Biegła znajomość języka angielskiego na poziomie B2 lub wyższym,1
Gotowość do nauki nowych technologii i adaptacji do zmieniających się wymagań projektowych,1
Znajomość narzędzi CI/CD (np. Docker,1
Znajomość architektury DDD (Domain-Driven Design),1
TDD (Test-Driven Development) oraz CQRS,1
Znajomość narzędzi takich jak Composer,1
PHPUnit czy phpstan,1
Obsługa pakietu MS Office – w szczególności MS Excel,1
Umiejętność pracy zespołowej oraz mentoringu mniej doświadczonych programistów,1
Dobra organizacja czasu pracy i zarządzanie projektami,1
Komunikatywność oraz zdolność do współpracy z różnymi działami firmy,1
inżynierii oprogramowania lub pokrewnej,1
Wykształcenie wyższe – preferowane  wykształcenie prawne/ kadrowe,1
Znajomość Prawa Pracy,1
Biegłość w obszarach kadrowo – płacowych oraz HR,1
Znajomość zasad współpracy ze Związkami Zawodowymi,1
Znajomość procedur kadrowo - personalnych,1
Umiejętność prowadzenia projektów optymalizacyjnych w zakresie kadrowo - personalnym,1
Dobra organizacja pracy własnej oraz podległych pracowników,1
Nastawienie na klienta wewnętrznego,1
umiejętność współpracy z osobami na różnych poziomach organizacji,1
proaktywna postawa oraz szukanie rozwiązań,1
Duża odporność na stres oraz umiejętność pracy pod presją czasu,1
wysoka komunikatywność i chęć do pracy z ludźmi,1
Bardzo dobra znajomość obsługi komputera (pakiet MS Office – szczególnie Excel),1
Wykształcenie wyższe lub status studenta studiów zaocznych,1
Umiejętności czytania kosztorysów naprawczych,1
Sparl,1
Masz wykształcenie wyższe (preferowane kierunki ekonomiczne lub finansowe),1
Posiadasz doświadczenie w zakresie oceny ekonomiczno-finansowej podmiotów z sektora SOHO / SME lub AGRO,1
strukturyzowania transakcji oraz oceny ryzyka kredytowego,1
Biegle obsługujesz komputer i bardzo dobrze znasz program MS Office,1
Posiadasz doświadczenie w pracy z klientem z sektora SOHO / SME lub AGRO,1
Potrafisz dobrze organizować i planować swoją pracę,1
doświadczenie w branży: agencji zatrudnienia,1
dyspozycyjność do pracy na pełen etat,1
kontroli jakości warzyw i owoców,1
Dyspozycyjność i zaangażowanie w wykonywane zadania,1
Samodzielność i odpowiedzialność w realizacji powierzonych obowiązków,1
Komunikatywności,1
Umiesz pracować w zespole oraz jesteś osobą otwartą na zmiany i nowe wyzwania,1
2–4 years of experience in an HR Generalist or similar role,1
ideally in a dynamic,1
international or scale-up environment.,1
Strong organizational skills and attention to detail — you keep things moving with a proactive approach to identifying and addressing gaps.,1
self-driven mindset with a strong sense of ownership.,1
A people-first attitude with excellent interpersonal and communication skills.,1
Tech-savvy and excited about working in a future-oriented,1
fast-moving company.,1
Excellent communication and collaboration skills — able to work across departments.,1
Wykształcenie wyższe w dziedzinie inżynierii przemysłowej,1
Min. 3-letnie doświadczenie w administracji bazami danych Oracle (w szczególności wersja 19),1
technologii żywności,1
inżynierii chemicznej lub minimum 3 lata doświadczenia w obszarze BHP,1
ochrony środowiska lub jakości.,1
Znajomość norm jakości: ISO 9001,1
Znajomość zagadnień: bezpieczeństwo,1
BRCGS S&D.,1
Doświadczenie w przeprowadzaniu wewnętrznych audytów zgodności.,1
Doświadczenie w branży spożywczej lub pokrewnym sektorze.,1
Biegła znajomość Excela oraz umiejętności analityczne.,1
Aktualna wiedza na temat lokalnych przepisów i norm SHEQ (Safety,1
Health,1
Environment,1
and Quality).,1
Biegła znajomość języka angielskiego oraz języka polskiego.,1
Gotowość do delegacji służbowych na terenie CEE,1
Kompetencje: Planowanie i organizacja,1
Świadomość bezpieczeństwa i jakości,1
Doświadczenie w zarządzaniu projektami będzie dodatkowym atutem.,1
Certyfikat audytora wewnętrznego dla norm ISO będzie dodatkowym atutem.,1
Doświadczenie w zarządzaniu mediami społecznościowymi: minimum 2 lata popartego sukcesami doświadczenia w prowadzeniu kont na Instagramie i Facebooku dla marek konsumenckich.,1
Umiejętność tworzenia i wdrażania strategii contentowej,1
która zwiększa zaangażowanie społeczności i wspiera cele biznesowe.,1
Biegłość w korzystaniu z narzędzi analitycznych do monitorowania wyników kampanii i wprowadzania usprawnień.,1
Wychodzenie z inicjatywą i umiejętność budowania zaangażowania u innych.,1
Umiejętność zarządzania kalendarzem publikacji,1
planowania kampanii i koordynowania działań promocyjnych.,1
Znajomość programów do tworzenia i edycji materiałów wizualnych takich jak Canva,1
mile wiedziane także: Adobe Photoshop czy Lightroom .,1
backup &amp,1
Podstawowa wiedza o winach,1
szczepach,1
regionach i kulturze winiarskiej,1
umożliwiająca autentyczną komunikację z odbiorcami.,1
znajomość języków obcych: angielski,1
niezbędne umiejętności lub kwalifikacje zawodowe: Webcon BPS,1
recovery,1
Certyfikat WEBCON (lub inne zbudowania procesów).,1
znajomość specyfiki pracy na uczelni oraz w projektach informatycznych,1
minimum 2-letnie doświadczenie w testowaniu i automatyzacji testów dla aplikacji mobilnej,1
znajomość języków programowania takich jak: C#,1
znajomość narzędzi takich jak Appium,1
Kobiton,1
Espresso,1
znajomość metodyk projektowania testów,1
doświadczenie w pracy z narzędziami do ciągłej integracji i ciągłego dostarczania (CI/CD),1
dobra organizacja pracy oraz umiejętność współpracy w zespole i z właścicielem biznesowym,1
umiejętność korzystania z narzędzi do testów API,1
takich jak Postman,1
doświadczenie w rozwoju aplikacji mobilnych,1
zwłaszcza przy użyciu Xamarin lub MAUI,1
doświadczenie w pracy w metodykach zwinnych (Agile,1
znajomość platformy Azure DevOps.,1
Education: Bachelor’s degree in information technology or equivalent experience.,1
Experience: 3+ years as a Business Application Specialist,1
preferably within HRIS Payroll and HR applications (e.g.,1
tuning,1
UKG pro,1
ADP Paisy CS). Hands-on experience with these systems is essential.,1
Technical Skills: Experience with automation tools or scripting (e.g.,1
Snowflake and SQL/queries in Snowflake). You'll be expected to create and maintain automation scripts to streamline processes.,1
Incident and Service Management: Strong experience overseeing incident and service management in a complex environment,1
ideally involving ERP/WMS platforms.,1
Change Management: Solid understanding of change management and training best practices. You'll be proactive in identifying areas for improvement and leading change initiatives.,1
Personal Attributes: Proactive,1
resilient,1
and able to navigate complex IT architectures and legacy systems. Analytical mindset with excellent problem-solving skills.,1
Language Skills: Proficient in English with conversational skills in German (additional languages such as French,1
or Italian would be an advantage).,1
ADP Paisy CS,1
UKG Pro WFM,1
have 2–5 years of experience working with PIM,1
DAM,1
metadata or similar systems,1
have a B.Sc. or M.Sc. degree (e.g. in Information Science,1
Digital Marketing) — or equivalent practical experience,1
are analytical and structured,1
with an agile mindset and strong attention to detail,1
enjoy working in cross-functional and international teams,1
are comfortable with stakeholder communication and thrive in a collaborative environment,1
are fluent in English (written and spoken),1
are proactive,1
solution-oriented,1
and a true team player.,1
doświadczenie zawodowe w obszarze IT,1
umiejętność pracy z wykorzystaniem narzędzi,1
np. platforma zakupowa,1
system do ewidencjonowania umów będzie dodatkowym atutem,1
wykształcenie wyższe: IT,1
kierunki ścisłe,1
język angielski na poziomie min. A2,1
Metalink,1
Doświadczenie w pracy z PL/SQL,1
znajomość procesów bankowych oraz procesów zakupowych,1
znajomość rynku IT,1
znajomość procesów budżetowych IT.,1
znajomość języka angielskiego oraz niemieckiego – wymóg konieczny,1
praktyczna znajomość metodyki rozwiązywania problemów (m.in. 8D,1
wiedza z zakresu statystycznej kontroli procesu (SPC),1
analizy systemów pomiarowych (MSA),1
analizy ryzyka (FMEA),1
umiejętność współpracy w zespole międzynarodowym,1
wykształcenie wyższe w kierunku ekonomii,1
umiejętność pracy na samodzielnym stanowisku,1
doświadczenie m.in. 5 lat,1
zdobyte w departamentach finansowania strukturyzowanego w bankach,1
w firmach doradczych (Big4,1
butiki inwestycyjne),1
lub w działach zajmujących się pozyskiwaniem finansowania w formule Project Finance w firmach z sektorów takich jak energetyka,1
infrastruktura,1
przemysł,1
zaawansowane umiejętności w zakresie modelowania finansowego,1
zorientowanie na cel połączone ze zdolnością do terminowego kończenia powierzonych zadań,1
Masz doświadczenie jako lider,1
brygadzista lub w podobnej roli.,1
Umiesz kierować zespołem 25-30 osób i dobrze się w tym czujesz.,1
Znasz się na pracy magazynu i podstawach logistyki.,1
Sprawnie obsługujesz skaner i system WMS – to mus!,1
Nie boisz się Excela.,1
Jesteś gotowy/a do pracy w magazynie wysokiego składu.,1
Masz dobrą organizację pracy i potrafisz podejmować decyzje „na już”.,1
Jesteś komunikatywny/a i angażujesz się w to,1
co robisz.,1
Lubisz usprawniać rzeczy i szukać lepszych rozwiązań – zmiany to coś,1
co nas napędza.,1
Minimum 4 lata doświadczenia w rozwoju oprogramowania w technologiach Java,1
Doświadczenie w tworzeniu backendu i frontendu,1
Dobra znajomość narzędzi DevOps: Bitbucket,1
Proaktywne podejście do rozwiązywania problemów oraz chęć do ciągłego rozwoju,1
Angielski na poziomie minimum B2 (praca w środowisku międzynarodowym).,1
min. 1 rok doświadczenia w środowisku produkcyjnym,1
obejmującego planowanie produkcji,1
techniczne wykształcenie wyższe (preferowane w zakresie Zarządzania i Inżynierii Produkcji),1
umiejętność analizy danych oraz konfrontowania wymagań produkcyjnych z dostępnymi zasobami,1
zrozumienie procesów produkcyjnych,1
w tym zarówno zautomatyzowanych,1
jak i manualnych,1
wysoko rozwinięte zdolności komunikacyjne i nastawienie na współpracę,1
swoboda w posługiwaniu się narzędziami pakietu MS Office (szczególnie Excel,1
Znajomość systemów Linux i Windows – w tym pisania skryptów,1
umiejętność oceny efektywności procesów i inicjatywy przy sugerowaniu usprawnień,1
znajomość języka angielskiego umożliwiająca swobodną komunikację w mowie i piśmie (B1),1
koncentracja na dążeniu do efektu,1
przy wykazywanej staranności i terminowości,1
chęć rozwoju umiejętności i gotowość na podejmowanie nowych wyzwań stanowiskowych.,1
Minimum roczne doświadczenie w pracy z Klientem zewnętrznym,1
polegające m.in. na analizie potrzeb,1
Znajomość przepisów prawa pracy ze szczególnym uwzględnieniem systemów czasu pracy,1
nastawienie na osiągnięcie celu,1
Minimum komunikatywna znajomość języka angielskiego – głownie mailowa komunikacja z Klientami oraz przygotowanie dokumentacji wdrożeniowej,1
Znajomość systemu TETA ME,1
TETA HR,1
wykształcenie wyższe lub w trakcie studiów (preferowane kierunki: prawo,1
zdolności analitycznego myślenia i zdolność szybkiego uczenia się,1
dobre zdolności interpersonalne,1
samodzielność w działaniu i efektywnej organizacji pracy,1
Doświadczenie z Oracle GoldenGate,1
Min. 2-letnie doświadczenie poparte sukcesami,1
w samodzielnym prowadzeniu kampanii performance,1
Umiejętność raportowania z wykorzystaniem Looker Studio.,1
Znajomość platform reklamowych TikTok Ads,1
Dodatkowym atutem będzie znajomość MS SQL Server,1
DV360/Search 360.,1
Podstawowa wiedza w zakresie SEO.,1
Znajomość narzędzi marketing automation np. Get Response.,1
Znajomość obsługi programów graficznych.,1
Doświadczenie we wdrożeniu SAP ILM w środowisku SAP HCM,1
Umiejętność samodzielnego prowadzenia projektów ILM end-to-end,1
Znajomość procesów archiwizacji i usuwania danych w SAP HCM,1
Praktyczna wiedza w zakresie analizy wymagań oraz projektowania rozwiązań SAP,1
Doświadczenie w identyfikacji zależności pomiędzy obiektami HR i projektowaniu logiki ich usuwania,1
SAP HCM,1
ILM,1
wykształcenie wyższe (preferowane - zarządzanie zasobami ludzkimi,1
psychologia lub ekonomia) lub bycie studentem/ką studiów zaocznych ww. kierunków,1
minimum 1 rok doświadczenia w prowadzeniu procesów rekrutacyjnych na różnych szczeblach w organizacji,1
doświadczenie w wykorzystywaniu social mediów,1
znajomość języka angielskiego na min. B2 (codzienna komunikacja w języku angielskim),1
Doświadczenie z Quest Spotlight,1
zaangażowanie oraz dobra organizacja pracy,1
rozumienie potrzeb biznesu,1
dyspozycyjność (prowadzenie spotkań rekrutacyjnych w siedzibach budów na terenie Polski).,1
Nie są Ci obce: Hadoop,1
Znajomość Oracle ASM oraz rozumienie działania systemów płatniczych będzie dodatkowym atutem,1
Rozumiesz złożone systemy bankowe,1
Potrafisz efektywnie współpracować z interesariuszami,1
zespołami DevOps i biznesem,1
Masz doświadczenie w architekturze rozwiązań IT,1
Posiadasz doświadczenie w infrastrukturze IT i architekturze technicznej,1
Potrafisz analizować i wdrażać wymagania niefunkcjonalne,1
Znasz zagadnienia: SRE,1
root cause analysis,1
Masz praktyczne doświadczenie w projektowaniu i dokumentowaniu architektury (SDD,1
TRRD),1
Posiadasz doświadczenie w mikroserwisach,1
konteneryzacji (Kubernetes) i technologiach chmurowych,1
Platform as a Service (PaaS),1
Bazy danych - preferowana Oracle,1
Technologii i zasad integracji (m.in. OSB,1
WebLogic),1
Systemów operacyjnych: RedHat Enterprise Linux,1
Sieci - CISCO,1
Technologii load balancing (Citrix NetScaler / F5 lub podobne),1
Bezpieczeństwa (JWT,1
certyfikaty klienckie,1
OpenID Connect),1
CI/CD – konfiguracja i wspieranie pipeline’ów,1
Zasad mikrousług i konteneryzacji,1
Infrastructure as Code,1
Config as Code,1
Metodyki SAFe,1
Oracle GoldenGate,1
minimum dwuletnie doświadczenie w analizie wymagań klienta,1
analizie przepisów  oraz projektowaniu rozwiązań,1
aktualna wiedza z obszaru kadrowo-płacowego,1
w szczególności z zakresie przepisów prawa,1
znajomość technik pozyskiwania wymagań biznesowych,1
umiejętność budowania relacji z klientem wewnętrznym i zewnętrznym,1
wysokie umiejętności komunikacyjne i nastawienie na pracę zespołową,1
inicjatywa i gotowość do poszerzania zakresu swojej wiedzy merytorycznej oraz technicznej,1
znajomość języka angielskiego na poziomie umożliwiającym swobodne czytanie dokumentacji technicznej,1
umiejętność pracy z relacyjnymi bazami danych (SQL),1
znajomość zwinnych metodyk tworzenia oprogramowania (SCRUM),1
znajomość notacji: UML,1
znajomość narzędzi: Enterprise Architect,1
Quest Spotlight,1
zoświadczenie we wdrażaniu systemów informatycznych,1
Masz minimum 2 lata doświadczenia jako Technical Writer lub na pokrewnym stanowisku w obszarze IT - warunek konieczny,1
Znasz język angielski na poziomie C1,1
w tym terminologię techniczną,1
Perfekcyjnie posługujesz się językiem polskim (min. poziom C2),1
Potrafisz logicznie planować i tworzyć przejrzystą dokumentację,1
Znasz narzędzia do tworzenia dokumentacji (np. Confluence,1
Azure DevOps Wiki),1
Umiesz pracować z językiem Markdown i HTML,1
Potrafisz efektywnie współpracować z zespołami technicznymi,1
Portfolio z przykładami dokumentacji technicznej,1
Doświadczenie w pracy z narzędziami AI (np. ChatGPT),1
Znajomość dokumentowania API oraz systemów kontroli wersji (np. Git),1
Doświadczenie w obszarze rekrutacji i chęć dalszego rozwoju,1
Wiedza dotyczącą metod i narzędzi rekrutacyjnych,1
Sprawna obsługa pakietu MS Office,1
Podstawowa wiedza z zakresu prawa pracy,1
Candidate Experience jest dla Ciebie najważniejszy na każdym etapie procesu,1
Rekrutacja i kontakt z ludźmi to Twoja pasja,1
2+ years of experience with JavaScript/TypeScript in a fullstack role,1
cechuje Cię wielozadaniowość,1
dynamika działania a kilkanaście otwartych jednocześnie procesów rekrutacyjnych jest dla Ciebie wyzwaniem,1
Masz doświadczenie w sprzedaży online? Ekstra!,1
Znasz takie narzędzia jak Shopify,1
WooCommerce czy Baselinker? Jeszcze lepiej,1
SEO i UX nie są dla Ciebie czarną magią,1
Excel nie przeraża,1
a nawet trochę cieszy,1
Lubisz porządek,1
dobrze planujesz swoją pracę i angażujesz się w to,1
Interesujesz się e-commerce i chcesz w nim rosnąć,1
Znajomość angielskiego na poziomie,1
który pozwali Ci pracować z zagranicznymi platformami czy opisami,1
Good English skills,1
Knowledge of Excel,1
At least high school absolvent or student,1
Willingness to develop in accounting area,1
Experience in accounting would be an asset,1
bardzo dobre posługiwanie się pakietem Microsoft Office (Excel,1
PowerPoint) na poziomie co najmniej średniozaawansowanym (formuły,1
umiejętność poszukiwania,1
selekcjonowania i interpretowania informacji,1
umiejętność myślenia analitycznego oraz dokładność i skrupulatność,1
umiejętność poszukiwania nowych sposobów na realizację zadań,1
umiejętność formułowania wniosków i wypowiadania się w sposób logiczny i zrozumiały,1
chęć do podnoszenia swoich kwalifikacji,1
ale jednocześnie umiejętność pracy w zespole,1
znajomość języka angielskiego w stopniu umożliwiającym czytanie ze zrozumieniem i wykorzystanie treści opracowań publikowanych w tym języku.,1
doświadczenie w pracy z jednym z programów wspierających analizę danych (R,1
Statistica,1
praktyczna znajomość jednego z narzędzi Business Intelligence (Power BI,1
doświadczenie w pracy w podmiocie leczniczym (w działach kontrolingowym lub rozliczania umów z NFZ,1
lub statystycznym) lub instytucjach publicznych współpracujących ze świadczeniodawcami,1
wiedzę z zakresu sprawozdawania i rozliczania świadczeń finansowanych ze środków publicznych,1
znajomość rodzajów i źródeł danych w systemie ochrony zdrowia,1
znajomość systemu opieki zdrowotnej w Polsce i podstawowych aktów prawnych w tym zakresie,1
a także roli AOTMiT,1
znajomość metodyki kalkulacji kosztów świadczeń,1
inicjatywę i chęć poszukiwania nowych rozwiązań,1
znajomość innych języków obcych.,1
wykształcenie kierunkowe min. średnie,1
bardzo dobra znajomość pakietu Microsoft Office,1
wysoka dokładność,1
skrupulatność i odpowiedzialność za jakość danych,1
umiejętność pracy z dużymi zbiorami danych oraz ich logicznej interpretacji,1
zdolność analitycznego myślenia i samodzielnego wyciągania wniosków,1
gotowość do nauki procesów produkcyjnych oraz współpracy z zespołami operacyjnymi,1
Wykształcenie wyższe lub w trakcie nauki - o kierunku technologia żywności,1
Strong proficiency in Node.js and Express.js,1
Strong proficiency in React and frontend development patterns,1
mikrobiologicznych dla przemysłu spożywczego,1
Gotowość do pracy na hali produkcyjnej w systemie 3-zmianowym,1
Familiarity with relational databases (e.g. PostgreSQL,1
Umiejętność obsługi komputera (pakiet MS Office).,1
Doświadczenie min. 1 rok w wykonywaniu analiz laboratoryjnych,1
fizykochemicznych.,1
Minimum 5 lat doświadczenia w zarządzaniu zespołem IT,1
z preferencją w obszarze infrastruktury,1
sieci i bezpieczeństwa IT,1
Doświadczenie potwierdzone praktyką w kompleksowym utrzymaniu infrastruktury IT (Hardware oraz Software),1
znajomość środowisk VMware vSphere,1
MS Exchange 2016/2019,1
Bardzo dobra znajomość M365 w tym Exchange Online,1
Understanding of authentication/authorization mechanisms (OAuth2,1
Onedrive,1
Defender,1
Bardzo dobra znajomość systemów serwerowych Windows i Linux,1
Bardzo dobra znajomość urządzeń brzegowych oraz przełączników Cisco,1
Umiejętność efektywnego zarządzania procesami zmian w organizacji,1
Praktyczna wiedza dotycząca rozwiązań oraz aktualnych trendów w obszarze IT,1
Umiejętność analitycznego myślenia oraz poprawnego wnioskowania,1
Umiejętność pracy pod presją czasu w dynamicznym środowisku biznesowym,1
Wysokie zdolności negocjacyjne,1
Doświadczenie w kancelarii prawnej,1
Experience working with cloud environments (preferably Azure),1
Comfortable using Git,1
and Linux CLI,1
Proficiency in at least one major cloud platform (a strong preference for Azure,1
alternatively AWS or GCP) and its data solutions.,1
Strong SQL skills and experience with relational databases (MySQL,1
Familiarity with NoSQL databases (e.g.,1
Familiarity with data warehousing solutions (e.g.,1
Redshift).,1
Familiarity with DevOps practices and CI/CD pipelines,1
Good English communication skills,1
Proficiency in Python 3.x or Scala,1
with knowledge of advanced Python constructs (e.g.,1
lambda functions,1
generators,1
list comprehensions).,1
Core understanding of object-oriented programming principles.,1
Experience with threading and multi-process computation.,1
Familiarity with Git for version control and Docker for containerization.,1
Experience with microservices architecture,1
A passion for continuous learning and embracing new technologies.,1
Strong problem-solving skills and analytical thinking.,1
Knowledge of message broker systems (e.g.,1
AWS Kinesis).,1
Experience with orchestration tools (e.g.,1
Dagster).,1
Familiarity with search systems (e.g.,1
Solr).,1
Hands-on experience with big data frameworks (e.g.,1
Presto).,1
Understanding of machine learning or statistical methods.,1
Development skills in REST API or GraphQL.,1
Experience with web scraping techniques.,1
AWS Kinesis,1
wykształcenie wyższe techniczne (preferowane mechaniczne),1
umiejętność pracy z rysunkiem technicznym oraz podstawami metrologii,1
dobra znajomość j. angielskiego w mowie i piśmie,1
znajomość narzędzi jakościowych (m.in. analiza Pareto,1
Control plan,1
Exposure to Azure DevOps or similar tools,1
umiejętność pracy w grupie i rozwiązywania problemów,1
mile widziana praktyczna znajomość IATF 16949,1
znajomość zasad doboru sprzętu pomiarowego do badanych charakterystyk,1
Praktyczna znajomość IATF 16949,1
Proficiency in at least one major cloud platform (preferably AWS,1
secondly Azure or GCP) and its data solutions.,1
Strong SQL skills and experience with relational databases (e.g. PostgreSQL,1
Oracle) and their cloud-managed versions.,1
Familiarity with NoSQL databases and caching solutions (e.g.,1
MemCached).,1
Familiarity with data warehousing solutions (preferably Snowflake or Databricks).,1
MemCached,1
Strong experience in designing scalable data processing systems (pipelines,1
Proficiency in GCP,1
especially BigQuery.,1
Experience with dbt for data transformation.,1
Strong SQL skills and experience with relational databases.,1
Familiarity with Apache Airflow for workflow orchestration.,1
Proficiency in Python for data engineering tasks.,1
Strong problem-solving and analytical thinking.,1
GCP certification (Associate level at least) is a must-have for this role,1
demonstrating a solid understanding of the platform and its best practices. We value candidates who have invested in their professional growth.,1
Proven experience with Google Cloud Platform technologies and services.,1
Strong database knowledge in the GCP Cloud (BigQuery,1
Knowledge of security best practices,1
Experience in mentoring or leading small teams,1
4–5+ years of hands-on experience with SQL and relational databases (e.g.,1
Proficiency in GCP networking and connectivity (VPC,1
Oracle or similar),1
CIDR).,1
Experience with Infrastructure as Code tools (Terraform,1
Strong experience with ETL tools such as SSIS,1
Solid understanding and hands-on experience with containerization (Docker) and Kubernetes.,1
Experience with monitoring and logging tools (Datadog,1
2–3+ years of experience with Power BI (or other BI tools like Tableau,1
Familiarity with setting up CI/CD pipelines (GitHub Actions,1
Programming/scripting skills,1
particularly in Python.,1
Basic knowledge of AWS is also an advantage.,1
Solid understanding of DevOps principles and culture.,1
ekspercka znajomość zagadnień sprawozdawczości finansowej (Ustawa o Rachunkowości,1
MSR/MSSF,1
konsolidacja sprawozdań finansowych),1
Co najmniej 10 lat relewantnego doświadczenia zawodowego na samodzielnym stanowisku (raportowanie sprawozdań finansowych,1
konsolidacja,1
controlling finansowy),1
Doskonała znajomość Microsoft Excel,1
Umiejętność pracy z bazami danych SQL i narzędziami EPM/BI lub chęć budowy kompetencji w tym zakresie,1
kreatywność i orientacja na rozwiązywanie problemów.,1
Umiejętność efektywnej komunikacji z różnymi interesariuszami projektu (Zarząd,1
Księgowość,1
Znajomość języka angielskiego na poziomie umożliwiającym efektywną komunikację w zakresie wymaganym do realizacji powierzonych zadań.,1
Profesjonalna kwalifikacja zawodowa potwierdzająca kompetencje w obszarze sprawozdawczości finansowej (uprawnienia biegłego rewidenta,1
CIMA),1
Doświadczenie consultingowe lub udział we wdrożeniach systemów IT w obszarze finansów,1
rachunkowości lub controllingu,1
minimum czteroletnie doświadczenie w pracy na podobnym stanowisku,1
znajomość zagadnień finansowo-księgowych,1
sprawność w posługiwaniu się pakietem MS Office (zwłaszcza Excel),1
praktyczna znajomość funkcjonowania systemów rozliczeń międzybankowych w kraju będzie dodatkowym atutem.,1
3+ years of relevant digital marketing experience.,1
Expertise in Hootsuite,1
Drupal/WordPress,1
Microsoft Dynamics 365 CRM,1
ZoomInfo,1
and Tag Manager.,1
Strong analytical and technical skills,1
